,AMAIZE1,AWHEAT1,ABEAN1,AOTHGR1,AFRTVE1,AOTHCR1,AMAIZE2,AWHEAT2,ABEAN2,AOTHGR2,AFRTVE2,AOTHCR2,AMAIZE3,AWHEAT3,ABEAN3,AOTHGR3,AFRTVE3,AOTHCR3,AMAIZE4,AWHEAT4,ABEAN4,AOTHGR4,AFRTVE4,AOTHCR4,ALVSTKA,ADAIRYA,AFVPREA,AWHTMFA,ACORNMA,ASUGARA,AOTHFOA,ALTMN,AINT,AKG,ACD,ACNSTR,APSVC,AOSVC,ACCT,CMAIZE,CWHEAT,CBEAN,COTHGR,CFRTVE,COTHCR,CLVSTKA,CDAIRYA,CFVPREA,CWHTMFA,CCORNMA,CSUGARA,COTHFOA,CLTMN,CINT,CKG,CCD,CCNSTR,CPSVC,COSVC,CCCT,LPRO,LAGRA1,LAGRA2,LAGRA3,LAGRA4,LWCO,LBCO,LUNS,DLAND1,DLAND2,DLAND3,DLAND4,ILAND1,ILAND2,ILAND3,ILAND4,CAPITAL,HHUP,HHUM,HHUR,hhrp1,hhrp2,hhrp3,hhrp4,hhrm1,hhrm2,hhrm3,hhrm4,hhrr1,hhrr2,hhrr3,hhrr4,ENTR,GOVR,PROCAM,ITAX,TTAX,Kaccount,WORLD,Total
CKG,0.04 ,0.02 ,0.01 ,0.02 ,0.06 ,0.05 ,0.04 ,0.00 ,0.02 ,0.05 ,0.03 ,0.04 ,0.08 ,0.01 ,0.00 ,0.02 ,0.03 ,0.04 ,0.04 ,0.00 ,0.00 ,0.01 ,0.03 ,0.05 ,2.03 ,0.16 ,1.55 ,0.20 ,0.30 ,0.46 ,5.20 ,4.21 ,5.32 ,77.61 ,69.90 ,46.56 ,5.32 ,7.32 ,6.03 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66 ,5.71 ,7.74 ,0.28 ,0.50 ,0.27 ,0.35 ,0.23 ,0.25 ,0.39 ,0.28 ,0.24 ,0.09 ,0.38 ,0.20 ,,5.08 ,,,,161.65 ,239.78 ,657.91 
CCD,0.01 ,0.03 ,0.00 ,0.01 ,0.42 ,0.14 ,0.01 ,0.01 ,0.00 ,0.03 ,0.25 ,0.26 ,0.02 ,0.01 ,0.00 ,0.01 ,0.25 ,0.26 ,0.01 ,0.00 ,0.00 ,0.00 ,0.20 ,0.32 ,3.81 ,,0.15 ,0.09 ,,0.15 ,1.53 ,3.11 ,1.25 ,4.81 ,69.92 ,1.00 ,7.71 ,4.48 ,9.99 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.94 ,50.21 ,75.21 ,2.77 ,4.96 ,2.64 ,3.66 ,2.35 ,2.25 ,3.16 ,3.07 ,1.83 ,1.99 ,3.06 ,1.43 ,,0.30 ,,,,66.60 ,310.95 ,660.65 
CCNSTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.08 ,,221.08 
CPSVC,0.25 ,0.16 ,0.03 ,0.10 ,0.28 ,0.29 ,0.25 ,0.03 ,0.09 ,0.27 ,0.17 ,0.19 ,0.52 ,0.06 ,0.02 ,0.10 ,0.17 ,0.18 ,0.23 ,0.00 ,0.01 ,0.04 ,0.13 ,0.23 ,2.72 ,0.14 ,0.21 ,0.74 ,1.30 ,0.36 ,5.23 ,10.74 ,22.99 ,19.72 ,35.38 ,15.08 ,80.31 ,53.28 ,81.89 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.52 ,123.67 ,168.25 ,2.78 ,7.07 ,4.26 ,5.28 ,2.45 ,3.10 ,4.54 ,3.73 ,1.32 ,1.90 ,4.52 ,1.85 ,,177.20 ,,,,,,872.37 
COSVC,0.01 ,0.00 ,0.00 ,0.00 ,0.00 ,0.01 ,0.01 ,0.00 ,0.00 ,0.01 ,0.00 ,0.01 ,0.02 ,0.00 ,0.00 ,0.00 ,0.00 ,0.01 ,0.01 ,0.00 ,0.00 ,0.00 ,0.00 ,0.01 ,1.34 ,,0.43 ,0.31 ,0.14 ,1.34 ,6.99 ,7.50 ,10.05 ,11.44 ,34.69 ,7.39 ,50.02 ,62.95 ,62.19 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.82 ,66.98 ,99.22 ,2.51 ,6.97 ,2.95 ,3.57 ,2.28 ,3.81 ,4.80 ,4.68 ,2.57 ,0.82 ,4.21 ,4.05 ,,1.03 ,,,,0.28 ,,487.43 
CCCT,0.23 ,0.13 ,0.04 ,0.05 ,0.59 ,0.35 ,0.22 ,0.02 ,0.11 ,0.13 ,0.35 ,0.37 ,0.46 ,0.05 ,0.02 ,0.05 ,0.35 ,0.37 ,0.21 ,0.00 ,0.02 ,0.02 ,0.28 ,0.46 ,6.42 ,10.51 ,2.00 ,1.86 ,1.23 ,1.01 ,22.41 ,30.88 ,17.55 ,47.24 ,108.08 ,22.05 ,19.45 ,18.12 ,43.03 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.53 ,146.06 ,126.01 ,4.93 ,18.42 ,11.43 ,16.40 ,4.90 ,7.79 ,12.30 ,11.44 ,7.14 ,1.95 ,8.30 ,9.13 ,,1.78 ,,,,29.06 ,,825.25 
LPRO,,,,,,,,,,,,,,,,,,,,,,,,,0.06 ,2.69 ,0.92 ,2.75 ,2.66 ,1.05 ,12.99 ,9.08 ,7.68 ,6.07 ,10.67 ,11.74 ,266.11 ,95.37 ,69.81 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499.66 
LAGRA1,1.02 ,0.44 ,0.17 ,0.23 ,2.33 ,2.04 ,,,,,,,,,,,,,,,,,,,0.85 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.08 
LAGRA2,,,,,,,1.45 ,0.03 ,0.74 ,0.31 ,2.22 ,2.45 ,,,,,,,,,,,,,0.64 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.84 
LAGRA3,,,,,,,,,,,,,2.81 ,0.18 ,0.17 ,0.52 ,3.63 ,3.20 ,,,,,,,1.03 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.54 
LAGRA4,,,,,,,,,,,,,,,,,,,2.60 ,0.01 ,0.25 ,0.12 ,2.72 ,4.29 ,0.19 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.17 
LWCO,,,,,,,,,,,,,,,,,,,,,,,,,0.03 ,3.13 ,1.08 ,3.21 ,3.10 ,1.22 ,15.13 ,7.73 ,8.85 ,8.20 ,10.85 ,6.70 ,195.38 ,38.19 ,203.70 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506.49 
LBCO,,,,,,,,,,,,,,,,,,,,,,,,,0.50 ,2.53 ,0.87 ,2.59 ,2.50 ,0.99 ,12.21 ,19.64 ,4.87 ,13.15 ,12.97 ,25.86 ,15.22 ,42.46 ,100.46 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.81 
LUNS,,,,,,,,,,,,,,,,,,,,,,,,,3.82 ,2.36 ,0.69 ,2.21 ,2.47 ,0.79 ,11.01 ,5.57 ,1.93 ,2.61 ,2.88 ,12.38 ,21.74 ,82.05 ,80.02 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.53 
DLAND1,0.20 ,0.02 ,0.38 ,0.28 ,0.13 ,0.18 ,,,,,,,,,,,,,,,,,,,10.96 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.14 
DLAND2,,,,,,,1.18 ,0.05 ,1.42 ,2.22 ,0.83 ,1.31 ,,,,,,,,,,,,,2.40 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.40 
DLAND3,,,,,,,,,,,,,2.28 ,0.09 ,0.16 ,0.49 ,1.27 ,1.92 ,,,,,,,2.74 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.95 
DLAND4,,,,,,,,,,,,,,,,,,,1.06 ,0.02 ,0.22 ,0.28 ,1.46 ,3.64 ,0.85 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.52 
ILAND1,1.89 ,0.80 ,0.36 ,0.71 ,4.88 ,2.97 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.62 
ILAND2,,,,,,,0.61 ,0.28 ,0.30 ,0.88 ,2.62 ,3.30 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.98 
ILAND3,,,,,,,,,,,,,0.46 ,0.31 ,0.06 ,0.17 ,1.19 ,1.32 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.52 
ILAND4,,,,,,,,,,,,,,,,,,,0.05 ,0.00 ,0.01 ,0.04 ,0.24 ,0.53 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87 
CAPITAL,0.76 ,0.43 ,0.13 ,0.21 ,2.20 ,1.89 ,0.94 ,,0.42 ,0.23 ,1.60 ,2.39 ,2.75 ,0.12 ,0.12 ,0.47 ,1.27 ,3.51 ,0.22 ,0.00 ,,0.07 ,1.70 ,1.17 ,8.10 ,4.01 ,0.92 ,3.31 ,4.51 ,1.05 ,17.91 ,34.68 ,73.84 ,72.42 ,77.80 ,37.16 ,160.48 ,58.16 ,116.60 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,693.55 
HHUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.83 ,,,,,32.74 ,33.76 ,29.19 ,,,,,,,,,,,,,,,,,,,,,,,,,39.21 ,33.62 ,,,,,0.63 ,181.98 
HHUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.03 ,,,,,165.25 ,93.73 ,61.94 ,,,,,,,,,,,,,,,,,,,,,,,,,127.62 ,47.19 ,,,,,2.32 ,601.08 
HHUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.36 ,,,,,251.33 ,51.96 ,4.52 ,,,,,,,,,,,,,,,,,,,,,,,,,71.32 ,24.19 ,,,,,2.28 ,743.96 
hhrp1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22 ,2.76 ,,,,2.58 ,5.55 ,7.28 ,0.45 ,,,,,,,,,,,,,,,,,,,,,,,,4.03 ,2.27 ,0.26 ,,,,0.12 ,26.52 
hhrp2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28 ,,5.33 ,,,4.19 ,10.60 ,32.74 ,,2.96 ,,,,,,,,,,,,,,,,,,,,,,,8.74 ,3.45 ,0.26 ,,,,0.18 ,70.73 
hhrp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00 ,,,3.92 ,,3.13 ,6.85 ,21.44 ,,,2.60 ,,,,,,,,,,,,,,,,,,,,,,0.49 ,1.19 ,0.20 ,,,,0.06 ,40.89 
hhrp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.32 ,,,,6.10 ,3.46 ,7.37 ,21.71 ,,,,2.91 ,,,,,,,,,,,,,,,,,,,,,12.37 ,2.24 ,0.20 ,,,,0.12 ,57.79 
hhrm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.22 ,1.98 ,,,,4.06 ,2.36 ,3.58 ,6.10 ,,,,,,,,,,,,,,,,,,,,,,,,10.63 ,2.28 ,0.53 ,,,,0.12 ,34.86 
hhrm2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.94 ,,1.96 ,,,2.65 ,2.40 ,7.28 ,,5.02 ,,,,,,,,,,,,,,,,,,,,,,,8.31 ,0.06 ,0.46 ,,,,,30.07 
hhrm3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.62 ,,,3.92 ,,5.77 ,7.65 ,12.73 ,,,4.76 ,,,,,,,,,,,,,,,,,,,,,,3.55 ,2.31 ,0.53 ,,,,0.12 ,44.95 
hhrm4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.43 ,,,,2.54 ,3.90 ,4.34 ,3.95 ,,,,4.08 ,,,,,,,,,,,,,,,,,,,,,14.08 ,1.11 ,0.33 ,,,,0.06 ,38.82 
hhrr1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.52 ,2.34 ,,,,1.55 ,2.02 ,1.44 ,5.59 ,,,,11.62 ,,,,,,,,,,,,,,,,,,,,0.81 ,0.43 ,1.45 ,,,,,29.76 
hhrr2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.19 ,,0.55 ,,,0.78 ,,4.57 ,,1.42 ,,,,7.98 ,,,,,,,,,,,,,,,,,,,,0.16 ,0.85 ,,,,,17.51 
hhrr3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88 ,,,3.69 ,,4.31 ,13.89 ,15.84 ,,,1.58 ,,,,3.52 ,,,,,,,,,,,,,,,,,,0.01 ,0.04 ,0.92 ,,,,,44.69 
hhrr4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.07 ,,,,1.53 ,3.52 ,5.89 ,0.79 ,,,,0.53 ,,,,0.87 ,,,,,,,,,,,,,,,,,6.34 ,0.00 ,0.53 ,,,,,25.06 
ENTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586.55 ,,,,,,,,,,,,,,,,,43.95 ,,,,,,630.50 
GOVR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00 ,0.01 ,0.01 ,0.00 ,0.21 ,0.13 ,0.10 ,0.00 ,0.05 ,0.02 ,0.00 ,0.06 ,0.14 ,0.70 ,1.67 ,3.01 ,1.88 ,,,,,16.76 ,,,,,17.27 ,8.44 ,3.53 ,,,,,,,,,,5.19 ,20.44 ,32.54 ,0.70 ,1.77 ,1.12 ,1.24 ,0.64 ,0.58 ,1.23 ,0.84 ,0.29 ,0.19 ,1.39 ,0.84 ,141.00 ,,,104.00 ,25.00 ,,,393.00 
PROCAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.51 ,,,,,,6.51 
ITAX,,,,,,,,,,,,,,,,,,,,,,,,,0.26 ,1.15 ,0.24 ,0.74 ,0.91 ,0.30 ,3.34 ,4.10 ,4.10 ,5.61 ,8.96 ,3.95 ,15.38 ,8.49 ,14.45 ,0.18 ,,0.03 ,,0.18 ,0.21 ,0.67 ,0.49 ,0.05 ,0.29 ,0.40 ,0.09 ,1.44 ,1.56 ,1.43 ,2.80 ,2.49 ,1.39 ,6.49 ,4.27 ,7.53 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.00 
TTAX,,-0.99 ,-0.01 ,-0.68 ,,-0.02 ,,-0.21 ,,-1.74 ,-0.01 ,-0.02 ,,-0.41 ,0.00 ,-0.73 ,-0.01 ,-0.02 ,,0.00 ,0.00 ,-0.01 ,-0.01 ,-0.02 ,0.12 ,0.12 ,0.03 ,0.07 ,0.09 ,0.03 ,0.33 ,0.48 ,0.44 ,0.70 ,1.07 ,0.67 ,6.05 ,1.94 ,2.77 ,0.10 ,,0.01 ,,,0.14 ,0.03 ,0.03 ,0.02 ,0.06 ,0.01 ,0.08 ,0.37 ,2.31 ,1.44 ,6.90 ,3.50 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.00 
Kaccount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.81 ,40.04 ,115.69 ,2.27 ,2.29 ,2.30 ,2.30 ,15.38 ,2.28 ,2.27 ,2.27 ,10.61 ,9.17 ,9.04 ,2.27 ,182.00 ,-12.00 ,,,,,84.00 ,481.00 
WORLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.40 ,0.00 ,1.03 ,,2.04 ,8.99 ,2.15 ,6.52 ,1.29 ,1.89 ,0.35 ,2.42 ,23.64 ,85.58 ,90.83 ,336.19 ,154.99 ,,,,,,,,,,,,,,,,,,,,,107.00 ,,,,,,,,,,,,,,,,,45.00 ,,,,,,878.32 
Total,5.37 ,1.69 ,1.22 ,1.27 ,12.19 ,8.86 ,5.68 ,0.34 ,3.40 ,3.28 ,8.87 ,11.16 ,11.36 ,0.67 ,0.60 ,1.44 ,8.95 ,11.62 ,5.31 ,0.04 ,0.55 ,0.69 ,7.36 ,11.74 ,87.37 ,63.58 ,13.34 ,38.59 ,50.06 ,17.04 ,186.40 ,225.68 ,226.35 ,309.01 ,497.78 ,219.69 ,865.88 ,483.17 ,817.72 ,31.84 ,2.74 ,6.51 ,6.67 ,39.36 ,52.78 ,90.32 ,70.63 ,14.76 ,40.85 ,50.82 ,19.68 ,211.99 ,315.84 ,321.72 ,657.91 ,660.65 ,221.08 ,872.37 ,487.43 ,825.25 ,499.66 ,7.08 ,7.84 ,11.54 ,10.17 ,506.49 ,256.81 ,232.53 ,12.14 ,9.40 ,8.95 ,7.52 ,11.62 ,7.98 ,3.52 ,0.87 ,693.55 ,181.98 ,601.08 ,743.96 ,26.52 ,70.73 ,40.89 ,57.79 ,34.86 ,30.07 ,44.95 ,38.82 ,29.76 ,17.51 ,44.69 ,25.06 ,630.50 ,393.00 ,6.51 ,104.00 ,25.00 ,481.00 ,878.32 ,16014.70 
